Temperature,Humidity,Comfort Level
14.18,81.89,"Too cold, please wear more clothes and have a cup of hot drink! "
-17.76,26.64,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
22.26,38.93,Normal.
35.59,80.76,"Extreme danger! High temperature, please stay indoor until sunset! "
33.5,98.39,"Extreme danger! High temperature, please stay indoor until sunset! "
16.14,34.56,Normal.
-7.38,97.78,"Too cold, please turn the heating on. "
-1.66,61.08,"Too cold, please turn the heating on. "
13.16,18.35,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
-6.96,39.85,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
29.8,14.55,"Too dry, suggest use of moist lotion. Caution! High temperature. "
35.26,34.55,Extreme caution! High temperature. 
35.51,78.9,"Extreme danger! High temperature, please stay indoor until sunset! "
41.28,37.71,"Danger! High temperature, please avoid outdoor activities. "
-8.55,77.76,"Too cold, please turn the heating on. "
-16.84,57.7,"Too cold, please turn the heating on. "
-3.8,78.54,"Too cold, please turn the heating on. "
13.96,58.74,"Too cold, please wear more clothes and have a cup of hot drink! "
49.75,52.15,"Extreme danger! High temperature, please stay indoor until sunset! "
22.8,44.43,Normal.
36.26,57.9,"Danger! High temperature, please avoid outdoor activities. "
7.86,53.22,"Too cold, please turn the heating on. "
29.66,37.35,Caution! High temperature. 
3.92,20.5,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
0.37,41.42,"Too cold, please turn the heating on. "
26.07,72.17,Normal.
